,month,day,count
0,11,02,79
1,11,03,1143
2,11,04,554
3,11,05,686
4,11,06,839
5,11,07,409
6,11,09,1
7,11,10,90
8,11,11,637
9,11,12,628
10,11,13,1016
11,11,14,337
12,11,16,2512
13,11,17,2907
14,11,18,3028
15,11,19,3801
16,11,20,1602
17,11,21,264
18,11,22,222
19,11,23,1353
20,11,24,1927
21,11,25,2310
22,11,29,978
23,11,30,1311
24,12,01,920
25,12,02,3866
26,12,03,3775
27,12,04,3133
28,12,05,815
29,12,06,3720
30,12,07,6654
31,12,08,5242
32,12,09,6817
33,12,10,6389
34,12,11,2467
35,12,12,3811
36,12,13,4046
37,12,14,2550
38,12,15,4949
39,12,16,5044
40,12,17,6271
41,12,18,5158
42,12,19,4521
43,12,20,1993
44,12,21,2342
45,12,22,2575
46,12,23,582
47,12,24,949
48,12,25,262
49,12,27,297
50,12,30,829
51,12,31,51
51,12,31,51
51,12,31,51
51,12,31,51
